Last inventory,Operating system,RAM (MB),CPU (MHz),CPU type,CPU number,RAM_GB,CPU_Family,Cores_per_CPU,Total_Cores,Machine_Profile,Impacto_Operacional
2025-02-06 15:37:48,Microsoft Windows Server 2022 Standard,8192,2793,Intel(R) Xeon(R) Silver 4309Y CPU @ 2.80GHz [2 core(s) x86_64],1,8.0,Xeon Silver,2,2,Servidor,Alto
2025-02-26 15:01:49,Microsoft Windows Server 2019 Standard,8192,2394,Intel(R) Xeon(R) Platinum 8260 CPU @ 2.40GHz [1 core(s) x86_64],4,8.0,Xeon Platinum,1,4,Servidor,Médio
2025-07-09 09:15:12,Microsoft Windows Server 2022 Standard,16384,2793,Intel(R) Xeon(R) Silver 4309Y CPU @ 2.80GHz [2 core(s) x86_64],1,16.0,Xeon Silver,2,2,Servidor,Médio
2025-10-24 10:13:29,Microsoft Windows Server 2022 Datacenter,131072,2600,INTEL(R) XEON(R) SILVER 4509Y [8 core(s) x86_64],2,128.0,Xeon Silver,8,16,Servidor,Baixo
2025-11-13 13:18:16,Microsoft Windows Server 2019 Standard Evaluation,16384,3301,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz [4 core(s) x86_64],1,16.0,Core i5,4,4,Servidor,Médio
2025-11-13 15:36:52,Microsoft Windows Server 2019 Standard Evaluation,16384,3301,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz [4 core(s) x86_64],1,16.0,Core i5,4,4,Servidor,Médio
2025-12-02 10:38:05,Microsoft Windows Server 2019 Standard,131072,2000,INTEL(R) XEON(R) SILVER 4514Y [16 core(s) x86_64],2,128.0,Xeon Silver,16,32,Servidor,Baixo
2025-12-02 10:42:01,Microsoft Windows Server 2019 Standard,16384,2000,INTEL(R) XEON(R) SILVER 4514Y [6 core(s) x86_64],1,16.0,Xeon Silver,6,6,Servidor,Médio
2025-12-04 14:27:41,Microsoft Windows Server 2022 Standard,131072,2793,Intel(R) Xeon(R) Silver 4309Y CPU @ 2.80GHz [8 core(s) x86_64],1,128.0,Xeon Silver,8,8,Servidor,Baixo
2025-12-16 15:03:08,Microsoft Windows Server 2022 Datacenter,131072,2600,INTEL(R) XEON(R) SILVER 4509Y [8 core(s) x86_64],2,128.0,Xeon Silver,8,16,Servidor,Baixo
2025-12-16 15:03:11,Microsoft Windows Server 2022 Standard,24576,2793,Intel(R) Xeon(R) Silver 4309Y CPU @ 2.80GHz [2 core(s) x86_64],1,24.0,Xeon Silver,2,2,Servidor,Médio
2025-12-23 18:30:04,Microsoft Windows Server 2019 Standard,16384,2600,INTEL(R) XEON(R) SILVER 4509Y [1 core(s) x86_64],1,16.0,Xeon Silver,1,1,Servidor,Médio
2025-12-23 18:32:02,Microsoft Windows Server 2019 Standard,16384,2600,INTEL(R) XEON(R) SILVER 4509Y [4 core(s) x86_64],1,16.0,Xeon Silver,4,4,Servidor,Médio
2026-01-26 10:01:11,Microsoft Windows 11 Pro,6987,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,6.8232421875,Ryzen 5,6,6,Notebook,Alto
2026-01-26 12:36:06,Microsoft Windows 11 Pro,16384,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,16.0,Ryzen 5,6,6,Notebook,Médio
2026-01-27 08:20:12,Microsoft Windows 11 Pro,16384,2000,AMD Ryzen 7 PRO 5875U with Radeon Graphics [8 core(s) x86_64],1,16.0,Ryzen 7,8,8,Notebook,Baixo
2026-01-27 19:19:35,Microsoft Windows 11 Pro,65536,2300,12th Gen Intel(R) Core(TM) i7-12700H [14 core(s) x86_64],1,64.0,Core i7,14,14,Notebook,Baixo
2026-01-28 10:02:39,Microsoft Windows Server 2019 Standard,131072,2095,Intel(R) Xeon(R) Gold 6152 CPU @ 2.10GHz [1 core(s) x86_64],64,128.0,Xeon Gold,1,64,Servidor,Baixo
2026-01-28 10:02:40,Microsoft Windows 11 Pro,16384,1700,12th Gen Intel(R) Core(TM) i7-1255U [10 core(s) x86_64],1,16.0,Core i7,10,10,Notebook,Baixo
2026-01-29 09:16:38,Microsoft Windows 11 Pro,16384,3300,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics [4 core(s) x86_64],1,16.0,Ryzen 3,4,4,Desktop,Médio
2026-01-29 09:31:48,Microsoft Windows 11 Pro,8192,1190,Intel(R) Core(TM) i5-1035G1 CPU @ 1.00GHz [4 core(s) x86_64],1,8.0,Core i5,4,4,Notebook,Alto
2026-01-29 13:17:01,Microsoft Windows 11 Pro,6987,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,6.8232421875,Ryzen 5,6,6,Notebook,Alto
2026-01-30 00:06:13,Microsoft Windows 11 Pro,8192,1190,Intel(R) Core(TM) i5-1035G1 CPU @ 1.00GHz [4 core(s) x86_64],1,8.0,Core i5,4,4,Notebook,Alto
2026-01-30 09:08:53,Microsoft Windows 11 Pro,16384,1300,12th Gen Intel(R) Core(TM) i5-1235U [10 core(s) x86_64],1,16.0,Core i5,10,10,Notebook,Médio
2026-01-30 09:38:28,Microsoft Windows 11 Pro,6987,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,6.8232421875,Ryzen 5,6,6,Notebook,Alto
2026-01-30 23:23:36,Microsoft Windows 11 Pro,16384,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,16.0,Ryzen 5,6,6,Notebook,Médio
2026-02-02 11:17:10,Microsoft Windows 11 Pro,8192,1190,Intel(R) Core(TM) i5-1035G1 CPU @ 1.00GHz [4 core(s) x86_64],1,8.0,Core i5,4,4,Notebook,Alto
2026-02-02 22:31:29,Microsoft Windows 11 Pro,8192,1190,Intel(R) Core(TM) i5-1035G1 CPU @ 1.00GHz [4 core(s) x86_64],1,8.0,Core i5,4,4,Notebook,Alto
2026-02-03 19:36:58,Microsoft Windows 11 Pro,16384,1700,12th Gen Intel(R) Core(TM) i7-1255U [10 core(s) x86_64],1,16.0,Core i7,10,10,Notebook,Baixo
2026-02-04 07:12:36,Microsoft Windows 11 Pro,6987,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,6.8232421875,Ryzen 5,6,6,Notebook,Alto
2026-02-04 10:57:49,Microsoft Windows 11 Pro,16384,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,16.0,Ryzen 5,6,6,Notebook,Médio
2026-02-04 11:37:29,Microsoft Windows 11 Pro,8192,1190,Intel(R) Core(TM) i5-1035G1 CPU @ 1.00GHz [4 core(s) x86_64],1,8.0,Core i5,4,4,Notebook,Alto
2026-02-04 12:15:11,Microsoft Windows 11 Pro,6987,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,6.8232421875,Ryzen 5,6,6,Notebook,Alto
2026-02-04 15:27:22,Microsoft Windows 11 Pro,16384,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,16.0,Ryzen 5,6,6,Notebook,Médio
2026-02-04 15:36:49,Microsoft Windows 11 Pro,16384,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,16.0,Ryzen 5,6,6,Notebook,Médio
