Last inventory,Operating system,RAM (MB),CPU (MHz),CPU type,CPU number,Setor,RAM_GB,CPU_Family,Cores_per_CPU,Total_Cores,Machine_Profile,Impacto_Operacional,Custo_Upgrade_BRL
2/6/2025 15:37,Microsoft Windows Server 2022 Standard,8192,2793,Intel(R) Xeon(R) Silver 4309Y CPU @ 2.80GHz [2 core(s) x86_64],1,TI,8.0,Xeon Silver,2,2,Servidor,Alto,0
2/26/2025 15:01,Microsoft Windows Server 2019 Standard,8192,2394,Intel(R) Xeon(R) Platinum 8260 CPU @ 2.40GHz [1 core(s) x86_64],4,TI,8.0,Xeon Platinum,1,4,Servidor,Médio,0
7/9/2025 9:15,Microsoft Windows Server 2022 Standard,16384,2793,Intel(R) Xeon(R) Silver 4309Y CPU @ 2.80GHz [2 core(s) x86_64],1,TI,16.0,Xeon Silver,2,2,Servidor,Médio,0
10/24/2025 10:13,Microsoft Windows Server 2022 Datacenter,131072,2600,INTEL(R) XEON(R) SILVER 4509Y [8 core(s) x86_64],2,TI,128.0,Xeon Silver,8,16,Servidor,Baixo,0
11/13/2025 13:18,Microsoft Windows Server 2019 Standard Evaluation,16384,3301,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz [4 core(s) x86_64],1,TI,16.0,Core i5,4,4,Servidor,Médio,0
11/13/2025 15:36,Microsoft Windows Server 2019 Standard Evaluation,16384,3301,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz [4 core(s) x86_64],1,TI,16.0,Core i5,4,4,Servidor,Médio,0
12/2/2025 10:38,Microsoft Windows Server 2019 Standard,131072,2000,INTEL(R) XEON(R) SILVER 4514Y [16 core(s) x86_64],2,TI,128.0,Xeon Silver,16,32,Servidor,Baixo,0
12/2/2025 10:42,Microsoft Windows Server 2019 Standard,16384,2000,INTEL(R) XEON(R) SILVER 4514Y [6 core(s) x86_64],1,TI,16.0,Xeon Silver,6,6,Servidor,Médio,0
12/4/2025 14:27,Microsoft Windows Server 2022 Standard,131072,2793,Intel(R) Xeon(R) Silver 4309Y CPU @ 2.80GHz [8 core(s) x86_64],1,TI,128.0,Xeon Silver,8,8,Servidor,Baixo,0
12/16/2025 15:03,Microsoft Windows Server 2022 Datacenter,131072,2600,INTEL(R) XEON(R) SILVER 4509Y [8 core(s) x86_64],2,TI,128.0,Xeon Silver,8,16,Servidor,Baixo,0
12/16/2025 15:03,Microsoft Windows Server 2022 Standard,24576,2793,Intel(R) Xeon(R) Silver 4309Y CPU @ 2.80GHz [2 core(s) x86_64],1,TI,24.0,Xeon Silver,2,2,Servidor,Médio,0
12/23/2025 18:30,Microsoft Windows Server 2019 Standard,16384,2600,INTEL(R) XEON(R) SILVER 4509Y [1 core(s) x86_64],1,TI,16.0,Xeon Silver,1,1,Servidor,Médio,0
12/23/2025 18:32,Microsoft Windows Server 2019 Standard,16384,2600,INTEL(R) XEON(R) SILVER 4509Y [4 core(s) x86_64],1,TI,16.0,Xeon Silver,4,4,Servidor,Médio,0
